RefId,14-Jan-2023 - Interval 00:00 EST

ForecastDateTimeEST,ForecastHourEndingEST,ForecastValue,ActualDateTimeEST,ActualHourEndingEST,ActualValue
2023-01-13 12:00:00 AM,1,0.00,2023-01-13 12:00:00 AM,1,-3.63
2023-01-13 1:00:00 AM,2,0.00,2023-01-13 1:00:00 AM,2,-3.79
2023-01-13 2:00:00 AM,3,0.00,2023-01-13 2:00:00 AM,3,-3.76
2023-01-13 3:00:00 AM,4,0.00,2023-01-13 3:00:00 AM,4,-3.83
2023-01-13 4:00:00 AM,5,0.00,2023-01-13 4:00:00 AM,5,-3.85
2023-01-13 5:00:00 AM,6,0.00,2023-01-13 5:00:00 AM,6,-3.80
2023-01-13 6:00:00 AM,7,0.00,2023-01-13 6:00:00 AM,7,-3.74
2023-01-13 7:00:00 AM,8,0.00,2023-01-13 7:00:00 AM,8,-3.68
2023-01-13 8:00:00 AM,9,44.00,2023-01-13 8:00:00 AM,9,2.79
2023-01-13 9:00:00 AM,10,249.00,2023-01-13 9:00:00 AM,10,126.16
2023-01-13 10:00:00 AM,11,486.00,2023-01-13 10:00:00 AM,11,330.51
2023-01-13 11:00:00 AM,12,636.00,2023-01-13 11:00:00 AM,12,487.64
2023-01-13 12:00:00 PM,13,717.00,2023-01-13 12:00:00 PM,13,589.02
2023-01-13 1:00:00 PM,14,769.00,2023-01-13 1:00:00 PM,14,655.06
2023-01-13 2:00:00 PM,15,751.00,2023-01-13 2:00:00 PM,15,587.50
2023-01-13 3:00:00 PM,16,669.00,2023-01-13 3:00:00 PM,16,454.06
2023-01-13 4:00:00 PM,17,426.00,2023-01-13 4:00:00 PM,17,293.25
2023-01-13 5:00:00 PM,18,109.00,2023-01-13 5:00:00 PM,18,97.48
2023-01-13 6:00:00 PM,19,2.00,2023-01-13 6:00:00 PM,19,-2.64
2023-01-13 7:00:00 PM,20,0.00,2023-01-13 7:00:00 PM,20,-3.32
2023-01-13 8:00:00 PM,21,0.00,2023-01-13 8:00:00 PM,21,-3.30
2023-01-13 9:00:00 PM,22,0.00,2023-01-13 9:00:00 PM,22,-3.31
2023-01-13 10:00:00 PM,23,0.00,2023-01-13 10:00:00 PM,23,-3.28
2023-01-13 11:00:00 PM,24,0.00,2023-01-13 11:00:00 PM,24,-3.29
2023-01-14 12:00:00 AM,1,0.00,,,
2023-01-14 1:00:00 AM,2,0.00,,,
2023-01-14 2:00:00 AM,3,0.00,,,
2023-01-14 3:00:00 AM,4,0.00,,,
2023-01-14 4:00:00 AM,5,0.00,,,
2023-01-14 5:00:00 AM,6,0.00,,,
2023-01-14 6:00:00 AM,7,0.00,,,
2023-01-14 7:00:00 AM,8,1.00,,,
2023-01-14 8:00:00 AM,9,165.00,,,
2023-01-14 9:00:00 AM,10,751.00,,,
2023-01-14 10:00:00 AM,11,1277.00,,,
2023-01-14 11:00:00 AM,12,1415.00,,,
2023-01-14 12:00:00 PM,13,1383.00,,,
2023-01-14 1:00:00 PM,14,1369.00,,,
2023-01-14 2:00:00 PM,15,1379.00,,,
2023-01-14 3:00:00 PM,16,1255.00,,,
2023-01-14 4:00:00 PM,17,816.00,,,
2023-01-14 5:00:00 PM,18,190.00,,,
2023-01-14 6:00:00 PM,19,2.00,,,
2023-01-14 7:00:00 PM,20,0.00,,,
2023-01-14 8:00:00 PM,21,0.00,,,
2023-01-14 9:00:00 PM,22,0.00,,,
2023-01-14 10:00:00 PM,23,0.00,,,
2023-01-14 11:00:00 PM,24,0.00,,,
